0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:27 +0100] "GET /Grasshopper/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:30 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "POST /Grasshopper/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:39 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:40 +0100] "GET /Grasshopper/Registrierung.jsp HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:36:42 +0100] "GET /Grasshopper/Hotellierregistrierung.jsp HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "POST /Grasshopper/Hotelregistrierung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "GET /Grasshopper/userLogged.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:34 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:39 +0100] "GET /Grasshopper/Hotellieransicht.jsp HTTP/1.1" 200 6314
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:41 +0100] "POST /Grasshopper/Logout HTTP/1.1" 302 -
